name,price,stock,UPC,Product Type,Price excl. tax,Price incl. tax,Tax,Number Reviews
A Light in the Attic,£51.77,In stock (22 available),a897fe39b1053632,Books,,£51.77,£0.00,0
Tipping the Velvet,£53.74,In stock (20 available),90fa61229261140a,Books,,£53.74,£0.00,0
Soumission,£50.10,In stock (20 available),6957f44c3847a760,Books,,£50.10,£0.00,0
Sharp Objects,£47.82,In stock (20 available),e00eb4fd7b871a48,Books,,£47.82,£0.00,0
Sapiens: A Brief History of Humankind,£54.23,In stock (20 available),4165285e1663650f,Books,,£54.23,£0.00,0
The Requiem Red,£22.65,In stock (19 available),f77dbf2323deb740,Books,,£22.65,£0.00,0
The Dirty Little Secrets of Getting Your Dream Job,£33.34,In stock (19 available),2597b5a345f45e1b,Books,,£33.34,£0.00,0
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,In stock (19 available),e72a5dfc7e9267b2,Books,,£17.93,£0.00,0
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,In stock (19 available),e10e1e165dc8be4a,Books,,£22.60,£0.00,0
The Black Maria,£52.15,In stock (19 available),1dfe412b8ac00530,Books,,£52.15,£0.00,0
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,In stock (19 available),0312262ecafa5a40,Books,,£13.99,£0.00,0
Shakespeare's Sonnets,£20.66,In stock (19 available),30a7f60cd76ca58c,Books,,£20.66,£0.00,0
Set Me Free,£17.46,In stock (19 available),ce6396b0f23f6ecc,Books,,£17.46,£0.00,0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,In stock (19 available),3b1c02bac2a429e6,Books,,£52.29,£0.00,0
Rip it Up and Start Again,£35.02,In stock (19 available),a34ba96d4081e6a4,Books,,£35.02,£0.00,0
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,In stock (19 available),deda3e61b9514b83,Books,,£57.25,£0.00,0
Olio,£23.88,In stock (19 available),feb7cc7701ecf901,Books,,£23.88,£0.00,0
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,In stock (19 available),e30f54cea9b38190,Books,,£37.59,£0.00,0
Libertarianism for Beginners,£51.33,In stock (19 available),a18a4f574854aced,Books,,£51.33,£0.00,0
It's Only the Himalayas,£45.17,In stock (19 available),a22124811bfa8350,Books,,£45.17,£0.00,0
In Her Wake,£12.84,In stock (19 available),23356462d1320d61,Books,,£12.84,£0.00,0
How Music Works,£37.32,In stock (19 available),327f68a59745c102,Books,,£37.32,£0.00,0
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,In stock (19 available),5674a18a29a43ced,Books,,£30.52,£0.00,0
Chase Me (Paris Nights #2),£25.27,In stock (19 available),c2e46a2ee3b4a322,Books,,£25.27,£0.00,0
Black Dust,£34.53,In stock (19 available),00bfed9e18bb36f3,Books,,£34.53,£0.00,0
Birdsong: A Story in Pictures,£54.64,In stock (19 available),9528d0948525bf5f,Books,,£54.64,£0.00,0
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,£22.50,In stock (19 available),c7d160c2c0de586f,Books,,£22.50,£0.00,0
Aladdin and His Wonderful Lamp,£53.13,In stock (19 available),904208d6aa64b655,Books,,£53.13,£0.00,0
